day,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,day32,day33,day34,day35,day36,day37,day38,day39,day40,day41,day42,day43,day44,day45,day46,day47,day48,day49,day50,day51,day52
2020-02,22,0,0,0,0,0,5,1,2,1,2,1,2,0,4,0,0,0,0,0,11,4,14,0,8,2,2,0,2,0,4,0,2,0,2,0,0,0,2,0,5,1,8,1,9,4,21,3,7,1,18,2
2020-03,356,2,30,4,110,12,126,3,87,4,541,25,172,12,289,13,123,5,68,6,447,13,469,14,234,9,239,14,353,16,390,20,489,32,135,11,316,18,254,22,423,25,310,20,513,32,498,13,182,6,548,21
2020-04,478,3,166,2,506,6,441,13,230,3,911,5,468,3,626,9,150,0,247,3,679,3,802,7,513,5,668,9,617,4,745,4,1048,2,360,0,670,5,886,8,1227,15,1063,14,1718,26,1068,12,380,3,1277,15
2020-05,535,3,233,3,948,20,744,21,344,6,1018,3,533,3,824,5,255,9,410,10,809,8,920,7,660,9,754,3,733,6,968,19,1121,6,397,3,789,11,1105,9,1581,16,1241,4,2139,10,1296,11,567,11,1512,12
2020-06,611,3,307,3,1360,12,1389,9,456,3,1063,4,779,14,929,4,640,10,1207,43,1101,13,1333,18,972,8,951,11,1779,43,2003,33,2054,45,748,16,1467,27,1385,13,2372,54,1478,14,2376,9,1542,7,955,11,2125,25
2020-07,771,6,482,8,1619,4,1635,8,610,5,1273,6,1308,11,1164,9,770,4,1945,2,1510,6,1774,11,1196,6,1431,14,2176,1,2688,25,2743,5,1100,8,2086,9,1959,17,4145,31,1850,7,2810,15,2151,44,1343,14,2714,12
2020-08,1209,35,943,30,2233,46,2129,31,1430,74,2158,73,2272,97,4225,238,1647,78,2704,68,3106,180,3175,119,1705,51,2417,77,2841,72,4308,110,3299,60,1449,33,2669,67,2964,105,5237,100,2819,75,3777,76,4531,158,2427,92,4688,169
2020-09,2376,25,1626,8,3350,22,3218,28,3571,33,4067,32,5255,46,9408,54,4018,38,4967,74,8410,71,6852,68,3441,34,4492,32,5009,37,7669,72,4913,30,2504,19,4982,52,6169,59,9789,139,5187,57,7089,95,9126,80,5186,43,9771,131
2020-10,2850,7,1892,7,4161,21,3954,21,4175,11,5156,27,6128,22,10567,17,4756,15,6762,22,9876,32,7977,16,4116,11,5447,26,5672,13,9107,21,5977,22,2961,7,6114,18,7773,28,13362,90,6418,34,9000,74,11022,54,6009,20,13597,82
2020-11,3163,31,2424,42,5203,81,5258,81,4626,39,7042,126,6874,82,11794,107,5056,37,7789,84,11239,138,9122,92,5563,120,6506,98,6575,110,11691,291,6794,69,3107,25,7168,82,9169,124,14919,69,9285,233,12185,158,14605,212,6860,69,16721,195
2020-12,7177,267,5972,174,10017,192,10162,225,9653,277,14028,323,15928,491,19056,347,9292,235,13392,246,19151,334,17278,417,11861,248,14816,402,15043,411,30468,737,12919,346,6311,197,15049,390,18476,406,23440,470,20271,359,22498,428,26142,501,13415,303,36353,1496
2021-01,14621,122,9648,74,14620,106,16087,141,16576,125,23120,222,28251,219,28756,211,17397,186,20506,182,28658,217,27892,201,18670,152,24202,159,26717,233,45417,216,22464,184,11395,74,24955,194,28921,215,34200,171,27972,142,32490,225,38996,252,21197,183,83026,727
2021-02,15155,42,11104,88,17940,235,18161,119,18165,153,26619,178,30882,167,31488,208,19358,123,22718,140,31384,185,29568,154,19880,98,25240,101,28226,138,44860,99,25609,237,12060,71,26836,172,30338,150,35664,186,28576,111,34149,124,41073,210,23645,158,87589,421
2021-03,18125,63,14821,79,25528,131,23932,139,27154,253,33773,114,38889,188,40327,137,24642,122,29296,113,41099,212,39045,223,24278,64,30811,101,35448,114,52883,125,33882,123,14793,25,34694,127,38572,172,43931,123,35579,158,43066,222,51523,191,32403,249,106298,233
2021-04,19456,62,16584,72,28163,106,28012,190,32968,247,37474,256,46053,340,44279,206,27651,133,32180,179,46537,258,46227,342,26157,104,33981,169,38605,176,56630,218,37202,143,15895,87,38189,203,44276,273,49513,310,42875,356,51214,438,58593,390,38459,250,111300,302
2021-05,17065,64,14950,76,25321,115,26300,118,31297,172,36135,213,43178,208,40061,216,26347,208,30476,194,43388,280,43308,203,23317,116,30592,125,34693,147,49660,160,32803,147,14960,108,35337,210,40823,186,45553,213,40641,202,51533,423,54810,310,36665,238,95459,196
