지점,지점명,일시,평균기온(°C),월합강수량(00~24h만)(mm)
108,서울,2010-01,-4.5,29.3
108,서울,2010-02,1.4,55.3
108,서울,2010-03,4.3,82.5
108,서울,2010-04,9.5,62.8
108,서울,2010-05,17.2,124
108,서울,2010-06,23.4,127.6
108,서울,2010-07,25.8,239.2
108,서울,2010-08,26.5,598.7
108,서울,2010-09,21.8,671.5
108,서울,2010-10,14.5,25.6
108,서울,2010-11,6.5,10.9
108,서울,2010-12,-1.3,16.1
108,서울,2011-01,-7.2,8.9
108,서울,2011-02,1.2,29.1
108,서울,2011-03,3.6,14.6
108,서울,2011-04,10.7,110.1
108,서울,2011-05,17.9,53.4
108,서울,2011-06,22,404.5
108,서울,2011-07,24.6,1131
108,서울,2011-08,25.8,166.8
108,서울,2011-09,21.8,25.6
108,서울,2011-10,14.2,32
108,서울,2011-11,10.7,56.2
108,서울,2011-12,-0.9,7.1
108,서울,2012-01,-2.8,6.7
108,서울,2012-02,-2,0.8
108,서울,2012-03,5.1,47.4
108,서울,2012-04,12.3,157
108,서울,2012-05,19.7,8.2
108,서울,2012-06,24.1,91.9
108,서울,2012-07,25.4,448.9
108,서울,2012-08,27.1,464.9
108,서울,2012-09,21,212
108,서울,2012-10,15.3,99.3
108,서울,2012-11,5.5,67.8
108,서울,2012-12,-4.1,41.4
108,서울,2013-01,-3.4,22.1
108,서울,2013-02,-1.2,74.1
108,서울,2013-03,5.1,27.3
108,서울,2013-04,10,71.7
108,서울,2013-05,18.2,132
108,서울,2013-06,24.4,28.3
108,서울,2013-07,25.5,676.2
108,서울,2013-08,27.7,148.6
108,서울,2013-09,21.8,138.5
108,서울,2013-10,15.8,13.5
108,서울,2013-11,6.2,46.8
108,서울,2013-12,-0.2,24.7
108,서울,2014-01,-0.7,13
108,서울,2014-02,1.9,16.2
108,서울,2014-03,7.9,7.2
108,서울,2014-04,14,31
108,서울,2014-05,18.9,63
108,서울,2014-06,23.1,98.1
108,서울,2014-07,26.1,207.9
108,서울,2014-08,25.2,172.8
108,서울,2014-09,22.1,88.1
108,서울,2014-10,15.6,52.2
108,서울,2014-11,9,41.5
108,서울,2014-12,-2.9,17.9
108,서울,2015-01,-0.9,11.3
108,서울,2015-02,1,22.7
108,서울,2015-03,6.3,9.6
108,서울,2015-04,13.3,80.5
108,서울,2015-05,18.9,28.9
108,서울,2015-06,23.6,99
108,서울,2015-07,25.8,226
108,서울,2015-08,26.3,72.9
108,서울,2015-09,22.4,26
108,서울,2015-10,15.5,81.5
108,서울,2015-11,8.9,104.6
108,서울,2015-12,1.6,29.1
108,서울,2016-01,-3.2,1
108,서울,2016-02,0.2,47.6
108,서울,2016-03,7,40.5
108,서울,2016-04,14.1,76.8
108,서울,2016-05,19.6,160.5
108,서울,2016-06,23.6,54.4
108,서울,2016-07,26.2,358.2
108,서울,2016-08,28,67.1
108,서울,2016-09,23.1,33
108,서울,2016-10,16.1,74.8
108,서울,2016-11,6.8,16.7
108,서울,2016-12,1.2,61.1
108,서울,2017-01,-1.8,14.9
108,서울,2017-02,-0.2,11.1
108,서울,2017-03,6.3,7.9
108,서울,2017-04,13.9,61.6
108,서울,2017-05,19.5,16.1
108,서울,2017-06,23.3,66.6
108,서울,2017-07,26.9,621
108,서울,2017-08,25.9,297
108,서울,2017-09,22.1,35
108,서울,2017-10,16.4,26.5
108,서울,2017-11,5.6,40.7
108,서울,2017-12,-1.9,34.8
108,서울,2018-01,-4,8.5
108,서울,2018-02,-1.6,29.6
108,서울,2018-03,8.1,49.5
108,서울,2018-04,13,130.3
108,서울,2018-05,18.2,222
108,서울,2018-06,23.1,171.5
108,서울,2018-07,27.8,185.6
108,서울,2018-08,28.8,202.6
108,서울,2018-09,21.5,68.5
108,서울,2018-10,13.1,120.5
108,서울,2018-11,7.8,79.1
108,서울,2018-12,-0.6,16.4
108,서울,2019-01,-0.9,0
108,서울,2019-02,1,23.8
108,서울,2019-03,7.1,26.8
108,서울,2019-04,12.1,47.3
108,서울,2019-05,19.4,37.8
108,서울,2019-06,22.5,74
108,서울,2019-07,25.9,194.4
108,서울,2019-08,27.2,190.5
108,서울,2019-09,22.6,139.8
108,서울,2019-10,16.4,55.5
108,서울,2019-11,7.6,78.8
108,서울,2019-12,1.4,22.6
108,서울,2020-01,1.6,60.5
108,서울,2020-02,2.5,53.1
108,서울,2020-03,7.7,16.3
108,서울,2020-04,11.1,16.9
108,서울,2020-05,18,112.4
108,서울,2020-06,23.9,139.6
108,서울,2020-07,24.1,270.4
108,서울,2020-08,26.5,675.7
108,서울,2020-09,21.4,181.5
108,서울,2020-10,14.3,0
108,서울,2020-11,8,120.1
108,서울,2020-12,-0.3,4.6
